1306.190308,2003.004272,3157.714844
1319.656250,1983.258179,3097.125000
1334.431396,2011.497192,2960.824219
1380.223145,1942.596924,2804.385498
1388.457520,1978.439331,2844.020020
1391.017090,2003.474365,2865.051758
1396.468140,1988.533936,3065.388428
1394.951172,1998.025269,2984.763428
1392.759644,2004.495483,2929.100586
1399.713867,1969.539429,2945.872314
1402.835449,1933.176392,2853.236084
1395.317871,1898.878418,2913.225098
1390.882324,1851.803589,2926.690430
1384.776001,1855.196899,2942.783936
1360.500610,1867.773315,2874.800781
1303.005005,1854.742554,2799.902100
1278.676392,1846.033203,2834.425049
1299.733032,1854.463501,2897.842285
1298.445435,1840.465942,2915.956543
1283.280396,1843.250977,2963.565918
1295.604370,1837.822144,2912.171387
1327.321411,1832.853394,2857.679443
1359.596558,1847.745239,2752.454590
1298.522095,1824.413818,2725.138428
1308.119507,1821.889526,2728.550049
1356.055298,1850.244751,2730.515869
1345.645386,1846.428345,2757.862549
1339.131104,1843.283936,2780.197021
1345.119141,1857.664307,2814.559082
1342.652954,1847.686890,2870.527832
1328.998901,1845.910034,2880.658691
1319.519775,1854.730225,2874.323486
1332.983643,1860.041138,2861.115723
1337.616699,1859.759644,2839.898682
1332.338135,1854.894287,2796.887695
1324.060791,1824.837280,2725.399658
1344.566162,1842.672485,2758.754639
1345.902832,1855.370239,2791.473389
1320.394043,1839.330322,2751.251465
1278.959473,1826.286743,2803.877441
1282.373169,1844.765137,2809.366699
1280.751465,1830.487793,2835.281250
1264.640015,1815.089355,2823.454102
1260.712646,1835.760986,2837.487305
1269.647949,1866.445557,2810.911133
1253.862427,1868.196411,2809.805908
1267.191650,1867.500244,2871.296387
1237.075684,1858.491333,2807.073975
1229.346924,1869.853394,2825.774170
1239.440308,1885.228516,2861.699707
1238.164551,1896.529297,2926.615234
1228.690674,1902.742065,3004.017578
1191.263916,1902.862915,3013.697021
1172.670898,1939.483154,3100.353271
1164.779175,2023.284668,3183.646729
1132.394165,2064.868652,3217.566406
1130.717163,2050.971680,3267.032715
1153.627319,2069.961182,3168.178955
1171.835327,2173.357422,3439.021240
1139.775391,2179.635742,3414.444824
1029.897827,2245.252441,3272.604736
1027.662354,2299.722168,3298.067139
1079.849854,2253.854492,3206.227295
1025.660400,2287.079346,3256.067871
978.674805,2336.170166,3284.321289
918.874512,2351.238770,3339.344482
875.715393,2366.911377,3271.403076
851.665039,2389.472412,3198.826660
849.370605,2431.509521,3126.718506
853.849670,2456.066406,3155.866455
852.422852,2430.201660,3177.297852
851.552124,2434.626465,3199.861084
854.903809,2483.912598,3251.094727
843.391174,2477.156982,3383.989014
814.536743,2459.907227,3155.280273
812.718384,2464.907227,3074.053711
811.181458,2415.495117,3137.929443
805.822998,2410.721436,3084.575928
803.351868,2401.021973,2962.311279
802.372620,2394.183350,2974.518066
801.689148,2411.387695,2933.529541
804.199463,2425.201172,2967.367432
810.087891,2493.947510,2924.550537
834.309143,2361.822021,2785.320068
784.111084,2437.741943,2909.147461
791.409729,2481.547119,2981.976562
843.997803,2481.604736,3098.853760
854.957397,2490.055908,3214.732422
830.151855,2466.364746,2993.443604
805.708984,2386.866943,2881.328857
796.231262,2401.695801,2913.638916
791.736145,2438.667969,2802.513428
788.864380,2483.684570,2739.139160
780.355957,2474.513184,2767.339844
767.662048,2487.660645,2830.625488
756.466553,2525.683105,2959.739746
743.453125,2513.996826,3001.793457
724.513489,2479.098877,3001.057129
711.651611,2523.540771,3059.176514
710.613159,2530.429932,3139.733154
722.177429,2652.750732,3084.298584
791.435059,2767.407959,3320.138184
754.924194,2775.474121,3514.079102
778.211243,2910.436523,3640.976318
756.384155,2849.944824,3883.567139
821.520264,2752.588623,3770.963623
763.437012,2806.718750,3735.326904
785.519043,2876.470215,3715.252686
726.327820,2710.287598,3785.933594
698.529724,2648.514648,3903.254639
684.247253,2683.221191,3896.979248
684.987183,2766.768066,3905.927490
689.652710,2825.158936,3902.595947
695.923706,2809.380371,3896.354736
685.235046,2814.732910,3902.468750
665.663330,2851.703613,4026.898926
634.017944,2777.754150,4073.844971
627.429871,2745.325928,4137.363770
644.529541,2777.353760,4150.747070
628.772705,2760.615967,4146.389648
604.956238,2739.868164,4151.143066
599.243164,2740.019775,4157.386230
598.875488,2749.655518,4158.616211
594.752197,2754.903564,4160.465820
593.442017,2765.215576,4161.496094
609.670898,2758.892578,4155.075684
614.655884,2800.658936,4156.425781
620.508606,2907.115967,4133.551758
613.973572,2840.374268,3989.897949
587.161560,2766.573486,3977.985352
536.877258,2776.285645,3971.291504
507.503204,2713.918213,3980.576416
513.473816,2653.757080,3939.393066
528.913574,2630.129883,3935.590088
547.238647,2643.196533,3932.409912
553.658752,2636.874268,3913.881104
550.935120,2608.949463,3916.483887
551.551453,2593.336182,3888.969727
558.893188,2597.451416,3873.080078
575.504089,2607.928223,3903.999268
581.782471,2632.538818,3898.381104
585.784851,2674.662598,3897.933350
592.874634,2699.101562,3895.683350
596.314453,2724.692139,3972.152832
604.220703,2828.034668,3949.433105
607.972900,2906.464600,3920.948486
588.189148,2952.036133,3909.745850
568.337585,2973.915771,3889.363281
559.585754,2967.125000,3859.112061
563.660156,2955.105713,3834.241943
579.336792,2943.693604,3826.829590
602.627869,2924.117920,3825.749023
649.072205,2922.282715,3764.752441
691.602722,2917.208740,3719.427979
726.704041,2825.795654,3685.995361
753.692017,2575.964600,3649.558594
764.784363,2458.040283,3594.614258
743.509705,2216.040527,3498.910400
773.722168,2138.191650,3567.037354
1006.624451,2034.983032,3612.850830
980.841248,1831.122192,3269.888184
1003.924255,1627.679077,3481.010498
1019.127563,1538.998291,3540.623779
1009.025269,1520.039062,3564.524658
1003.193848,1440.747314,3595.011230
1018.612488,1411.191772,3573.802734
987.540039,1411.899536,3545.686035
986.999756,1364.179688,3499.041260
1042.131714,1404.970825,3454.338623
1070.769897,1464.638428,3561.002930
1079.560303,1384.730591,3285.413086
1076.053101,1342.838501,3238.652344
1072.383911,1307.669312,3204.652100
1064.278564,1289.538330,3227.164062
1057.481201,1265.488403,3304.363770
1052.573242,1210.615601,3338.445801
1067.436523,1162.103882,3374.019531
1075.211304,1146.226807,3408.610107
1064.923096,1146.264893,3381.302002
1057.611694,1151.753174,3339.957520
1077.738770,1134.294067,3334.230957
1048.060669,1146.274658,3358.362793
997.610535,1177.543701,3363.633301
986.264282,1178.421631,3350.434570
1013.898193,1163.610352,3383.912109
1043.908813,1159.744629,3418.531738
1029.759033,1134.364746,3474.464844
951.403076,1131.837769,3452.901855
931.914307,1147.439575,3452.103271
922.859131,1154.632080,3534.926514
923.612366,1155.278198,3519.944824
918.739563,1164.806274,3433.739502
932.944031,1166.027832,3430.884277
940.613647,1169.040894,3357.904053
940.726868,1170.884521,3323.446533
930.183777,1177.296875,3295.046143
927.999084,1184.789429,3285.520020
941.794678,1192.088623,3330.528564
951.463440,1185.271606,3382.912109
937.271484,1171.516235,3427.220947
896.685364,1167.866211,3402.486572
872.916138,1171.608032,3347.505371
867.528076,1176.639771,3328.860596
865.951355,1174.257935,3350.592529
859.514771,1172.976440,3370.799072
846.971375,1175.599854,3432.601807
816.274597,1175.940918,3371.697021
794.478821,1175.962891,3431.377197
776.765747,1183.425171,3450.217285
761.816040,1209.207642,3569.305908
738.797729,1229.243408,3546.754150
722.582581,1269.419800,3502.514648
720.169800,1229.508911,3517.879395
723.858948,1103.569214,3524.988037
715.840149,1062.688354,3511.697021
713.441772,1037.447266,3461.657715
680.437866,1003.522095,3493.966309
645.981140,1001.846558,3504.124512
620.751770,1051.286865,3538.783936
626.937256,1032.662231,3560.716553
643.853394,1015.991699,3648.323486
677.749634,979.481445,3678.194092
654.515625,910.726257,3671.770752
698.536316,896.853577,3693.661865
707.066223,967.600525,3693.335938
707.414795,1171.208740,3635.926514
724.493408,1170.486084,3658.782715
738.425171,1087.071533,3728.593994
744.391785,1019.184998,3753.414307
745.461426,949.471863,3701.253174
747.726807,892.516907,3678.189209
749.995789,790.167664,3695.975098
729.889587,750.270386,3707.718262
576.901550,751.961670,3687.973145
647.445374,750.514404,3672.603516
682.346069,747.804932,3653.754395
690.506714,745.138245,3598.513184
572.817139,747.168213,3595.262695
452.067719,748.735718,3569.591309
507.940338,749.186707,3567.681885
579.520508,745.945007,3544.123779
707.032654,742.269226,3537.493164
736.659485,769.027710,3549.751221
735.999084,844.231262,3584.682373
734.023438,985.530457,3578.696045
733.284546,1038.967651,3548.726074
735.249878,1024.913574,3554.800781
739.439392,1027.823364,3542.597412
745.088196,1011.117676,3520.909424
729.397827,1039.843506,3508.064941
720.477783,1074.661865,3493.996826
712.872131,1102.819946,3455.677734
715.291260,1114.204346,3435.142090
717.652161,1121.989990,3411.976562
727.341187,1132.392944,3406.652832
