PC,explained_variance_ratio
PC1,0.36474238831467637
PC2,0.26700606700035123
PC3,0.10551759735790738
PC4,0.08058723845568896
PC5,0.06245987619011013
PC6,0.050368344842932074
PC7,0.03585622031266913
PC8,0.02186527947530563
PC9,0.011596988050359152
