sample_id,score,Jitter,Shimmer,H1H2,HNR,Q1,SpectralSlope,LowFreqEnergyRatio,HighFreqNoiseRatio,CPP
#a3-1,1.0,0.004118000157177448,0.017806999385356903,-3.8186604976654053,21.708478927612305,4.051126480102539,-0.00014000000373926014,0.8191715478897095,0.00973450019955635,0.2748335003852844
#a3-3-a,3.0,0.003191000083461404,0.013286000117659569,0.5627959966659546,23.35849380493164,6.998775005340576,-0.00012799999967683107,0.18536250293254852,0.0766104981303215,0.3095479905605316
#a3-5-a,3.0,0.0027600000612437725,0.012928999960422516,1.1150050163269043,23.072509765625,9.313827514648438,-0.00012399999832268804,0.153174489736557,0.33956199884414673,0.37212347984313965
#a4-1,1.0,0.0022750000935047865,0.019581500440835953,8.49009895324707,25.768659591674805,2.19891095161438,-0.00011999999696854502,0.8521639704704285,0.036740999668836594,0.1671600043773651
#a4-3-a,3.0,0.0011269999668002129,0.01295899972319603,0.9064940214157104,30.541648864746094,3.3590095043182373,-0.0001140000022132881,0.5454189777374268,0.06776600331068039,0.2314009964466095
#a4-5-a,3.0,0.003737000050023198,0.015553999692201614,-2.383664131164551,25.336206436157227,6.7486467361450195,-0.00011899999663000926,0.3208869993686676,0.27839401364326477,0.2462960034608841
#c4-1,1.0,0.003894000081345439,0.02117850072681904,2.1821329593658447,22.986099243164062,3.6980628967285156,-0.0001429999974789098,0.6540780067443848,0.004267999902367592,0.2513040006160736
#c4-3-a,3.0,0.0031950001139193773,0.012592999264597893,1.3470669984817505,23.273700714111328,4.947075843811035,-0.00012700000661425292,0.18534448742866516,0.043774500489234924,0.30949848890304565
#c4-5-a,3.0,0.002693000016734004,0.009452000260353088,0.6730589866638184,25.277286529541016,6.938799858093262,-0.00012399999832268804,0.19242750108242035,0.23105600476264954,0.4200134873390198
#d4-1,1.0,0.0032820000778883696,0.025834999978542328,6.39845085144043,23.523975372314453,3.8759090900421143,-0.00013099999341648072,0.7973455190658569,0.004770500119775534,0.3311910033226013
#d4-3-a,3.0,0.0023709998931735754,0.016032999381422997,-3.7994205951690674,26.95785903930664,4.043529987335205,-0.00011600000289035961,0.12228000164031982,0.1323540061712265,0.3347899913787842
#d4-5-a,3.0,0.002615999896079302,0.012787999585270882,-6.8540802001953125,23.785959243774414,5.038141250610352,-0.00011800000356743112,0.07724650204181671,0.20483699440956116,0.4045040011405945
#f3-1,1.0,0.004466000013053417,0.02097499929368496,-7.686656951904297,19.11269760131836,2.935760974884033,-0.00017699999443721026,0.27663499116897583,0.00278700003400445,0.20200899243354797
#f3-3-a,3.0,0.0038109999150037766,0.017698999494314194,-3.8959479331970215,19.160747528076172,6.9602203369140625,-0.0001720000000204891,0.1533994972705841,0.04705899953842163,0.22435349225997925
#f3-5-a,3.0,0.004251999780535698,0.014537999406456947,-4.167802810668945,19.346920013427734,10.371957778930664,-0.00014200000441633165,0.06475099921226501,0.20450200140476227,0.2839510142803192
