PC,explained_variance_ratio
PC1,0.32212942701695846
PC2,0.22401741302555955
PC3,0.1916122143545886
PC4,0.09990539773633803
PC5,0.051429793354830056
PC6,0.03770638442299793
PC7,0.034458417660627245
PC8,0.022365924781791134
PC9,0.01637502764630913
