,Jitter,Shimmer,H1H2,HNR,Q1,SpectralSlope,LowFreqEnergyRatio,HighFreqNoiseRatio,CPP
PC1,0.3507510675238922,0.3475160080514069,0.42793981606158926,-0.23871080148093077,-0.3311108238526644,0.07027285907743824,0.43453364055208643,-0.19605650000381022,-0.4174454353611574
PC2,-0.3810942208363454,-0.09082471031560896,0.24342405905699718,0.5935764227720153,-0.2553763286391165,0.5621799958724002,0.22327212113917982,0.05970079767885515,0.015867650514513346
PC3,0.22502319917678143,0.20220709235493062,0.0779114297515374,-0.07757518349949241,0.3832288551512343,0.39870428851749307,-0.15080477482155158,0.7120398756914682,-0.2466098576015075
PC4,-0.331895899609933,0.8364110873600004,0.08667596137778044,0.2038672419551038,0.23332599174881447,-0.15409980996155437,-0.16900082358831628,-0.16688903212860878,0.08115437675272619
PC5,-0.12633440073304997,-0.32611285563597503,0.40753587482755904,0.0733548168552926,0.7124211330031673,-0.09318303530973893,0.16081286236569536,-0.29677935382423415,-0.27578596007665546
PC6,0.42141014825075224,0.02790754125860742,0.29598656731235784,-0.08603430391548333,0.13485990083363028,0.4194416788631113,-0.222136113941939,-0.32444932219791045,0.6147311412319469
PC7,-0.11669984686565917,0.005682904654583293,0.3542516866154215,-0.11309123740580276,0.0326386184355328,-0.35127137257036134,0.4804736263260649,0.45128931727023813,0.5376719769621333
PC8,-0.08410615730504224,0.14101778316659527,-0.5662154105089067,-0.2218433883179991,0.28780638776947864,0.3525005843317681,0.5967199453576971,-0.15987444929088268,0.12042444758879924
PC9,0.5972528453828914,0.05886887838272731,-0.21033697313178018,0.684337252108686,0.11922382058822387,-0.25306299063043014,0.21884215331139173,0.02403528643275953,0.023229233042703093
