feature,coef,abs_coef,selected
CPP,-0.7843518275519402,0.7843518275519402,True
HighFreqNoiseRatio,0.607167106637185,0.607167106637185,True
Jitter,0.2175072906013018,0.2175072906013018,True
H1H2,0.1968637275304674,0.1968637275304674,True
LowFreqEnergyRatio,0.1595944829890946,0.1595944829890946,True
HNR,-0.149868690061608,0.149868690061608,True
SpectralSlope,0.0826021397484633,0.0826021397484633,True
Q1,0.040132750629371154,0.040132750629371154,True
Shimmer,-0.0007065776458614727,0.0007065776458614727,True
