feature,coef,abs_coef,selected
HighFreqNoiseRatio,0.6803897158721435,0.6803897158721435,True
CPP,-0.6523273265304592,0.6523273265304592,True
Jitter,0.3958237458184179,0.3958237458184179,True
LowFreqEnergyRatio,0.24416575845380908,0.24416575845380908,True
Q1,0.1113499553542181,0.1113499553542181,True
Shimmer,0.07371484394032825,0.07371484394032825,True
SpectralSlope,0.06268144447618747,0.06268144447618747,True
HNR,-0.03583039529064891,0.03583039529064891,True
H1H2,-0.0009528420242459757,0.0009528420242459757,True
