PC,explained_variance_ratio
PC1,0.39789755397782806
PC2,0.21104947833016713
PC3,0.15024617246883465
PC4,0.07066476115265523
PC5,0.04901909335743164
PC6,0.0480140949750636
PC7,0.03433009492075916
PC8,0.02143158082867466
PC9,0.017347169988585775
