feature,coef,abs_coef,selected
Q1,0.4640173399971579,0.4640173399971579,True
HighFreqNoiseRatio,0.4063864449519127,0.4063864449519127,True
LowFreqEnergyRatio,-0.36044729711337264,0.36044729711337264,True
SpectralSlope,0.24552847725667248,0.24552847725667248,True
Shimmer,-0.15844026506687012,0.15844026506687012,True
H1H2,-0.06240523248778205,0.06240523248778205,True
CPP,0.015872707562764817,0.015872707562764817,True
HNR,0.012538871397624753,0.012538871397624753,True
Jitter,0.0016094902958937957,0.0016094902958937957,True
