sample_id,score,Jitter,Shimmer,H1H2,HNR,Q1,SpectralSlope,LowFreqEnergyRatio,HighFreqNoiseRatio,CPP
#a3-1,1.0,0.004118000157177448,0.017806999385356903,-3.8186604976654053,21.708478927612305,4.051126480102539,-0.00014000000373926014,0.8191715478897095,0.00973450019955635,0.2748335003852844
#a3-3-a,3.0,0.003191000083461404,0.013286000117659569,0.5627959966659546,23.35849380493164,6.998775005340576,-0.00012799999967683107,0.18536250293254852,0.0766104981303215,0.3095479905605316
#a3-3-b,5.0,0.004246999975293875,0.016065001487731934,3.320422887802124,24.42941665649414,3.723909378051758,-0.00011500000255182385,0.9464589953422546,0.10192400217056274,0.1648319959640503
#a3-5-a,3.0,0.0027600000612437725,0.012928999960422516,1.1150050163269043,23.072509765625,9.313827514648438,-0.00012399999832268804,0.153174489736557,0.33956199884414673,0.37212347984313965
#a3-5-b,5.0,0.011729000136256218,0.021701999008655548,13.125603675842285,21.06245231628418,1.9684619903564453,-0.00012099999730708078,0.9749680161476135,0.05220799893140793,0.07996100187301636
#a4-1,1.0,0.0022750000935047865,0.019581500440835953,8.49009895324707,25.768659591674805,2.19891095161438,-0.00011999999696854502,0.8521639704704285,0.036740999668836594,0.1671600043773651
#a4-3-a,3.0,0.0011269999668002129,0.01295899972319603,0.9064940214157104,30.541648864746094,3.3590095043182373,-0.0001140000022132881,0.5454189777374268,0.06776600331068039,0.2314009964466095
#a4-3-b,3.0,0.00216299993917346,0.022792000323534012,2.870863914489746,31.293899536132812,3.185883045196533,-0.00011899999663000926,0.6826515197753906,0.1253264993429184,0.1664314866065979
#a4-5-a,3.0,0.003737000050023198,0.015553999692201614,-2.383664131164551,25.336206436157227,6.7486467361450195,-0.00011899999663000926,0.3208869993686676,0.27839401364326477,0.2462960034608841
#a4-5-b,5.0,0.0071390001103281975,0.029015999287366867,0.09040100127458572,17.393199920654297,6.6212849617004395,-0.0001250000059371814,0.5134770274162292,0.3210430145263672,0.07996100187301636
#c4-1,1.0,0.003894000081345439,0.02117850072681904,2.1821329593658447,22.986099243164062,3.6980628967285156,-0.0001429999974789098,0.6540780067443848,0.004267999902367592,0.2513040006160736
#c4-3-a,3.0,0.0031950001139193773,0.012592999264597893,1.3470669984817505,23.273700714111328,4.947075843811035,-0.00012700000661425292,0.18534448742866516,0.043774500489234924,0.30949848890304565
#c4-3-b,5.0,0.0030930000357329845,0.011373000219464302,7.294054985046387,25.790300369262695,2.552064895629883,-0.00011899999663000926,0.7419899702072144,0.15323850512504578,0.21181800961494446
#c4-5-a,3.0,0.002693000016734004,0.009452000260353088,0.6730589866638184,25.277286529541016,6.938799858093262,-0.00012399999832268804,0.19242750108242035,0.23105600476264954,0.4200134873390198
#c4-5-b,5.0,0.008419999852776527,0.017348499968647957,13.581184387207031,20.293636322021484,1.640997052192688,-0.00010900000052060932,0.9186450242996216,0.0806415006518364,0.0950855016708374
