feature,coef,abs_coef,selected
HighFreqNoiseRatio,0.47013009414863954,0.47013009414863954,True
Jitter,0.4050676498753688,0.4050676498753688,True
SpectralSlope,0.27927109167025155,0.27927109167025155,True
CPP,-0.26474722992650884,0.26474722992650884,True
Q1,0.20324134704173563,0.20324134704173563,True
HNR,-0.1664279401062363,0.1664279401062363,True
Shimmer,-0.11523803992804914,0.11523803992804914,True
H1H2,0.0757755414086807,0.0757755414086807,True
LowFreqEnergyRatio,-0.0003027752126179883,0.0003027752126179883,True
